ZSCORE_ONCODRIVECLUST	PVALUE_ONCODRIVEFM	DRIVER_LABEL	CLUST_COORDS	SYMBOL	POOL_SIGNALS	MUTS_CS	MUTS_PAM	KNOWN_DRIVER	ONCODRIVE_ROLE	PVALUE_ONCODRIVECLUST	GENE	QVALUE_ONCODRIVEFM	PROJECT	SIGNAL_COUNT	SIGNALS	CANCER_TYPE	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES	QVALUE_ONCODRIVECLUST
		Pooled_driver		TP53BP1	F	4	4.0		0.11900000000000001		ENSG00000067369		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		FUBP1	RF	4	3.0	True	0.0195		ENSG00000162613		LUAD_TCGA	0		LUAD	3.0	4	
		Pooled_driver		MED24	R	4	2.0		0.4115		ENSG00000008838		LUAD_TCGA	0		LUAD	2.0	4	
		Pooled_driver		ARFGAP1	F	4	4.0		0.4275		ENSG00000101199		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		STAG1	F	4	2.0		0.7509999999999999		ENSG00000118007		LUAD_TCGA	0		LUAD	2.0	4	
		Pooled_driver		FMR1	F	4	4.0		0.1195		ENSG00000102081		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		ARHGAP26	F	4	2.0	True	0.05		ENSG00000145819		LUAD_TCGA	0		LUAD	2.0	4	
		Pooled_driver		CASP8	RF	4	4.0		0.011000000000000001		ENSG00000064012		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		RBM5	F	3	3.0		0.0315		ENSG00000003756		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		MEN1	F	3	2.0	True	0.0285		ENSG00000133895		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		TOM1	F	3	3.0		0.2215		ENSG00000100284		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		PSMA6	F	3	3.0		0.4425		ENSG00000100902		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		SMAD2	RF	3	2.0		0.0005		ENSG00000175387		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		HLA-A	F	3	2.0		0.003		ENSG00000206503		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		ATIC	F	3	3.0	True	0.0305		ENSG00000138363		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		PPP2R5A	F	3	3.0		0.048		ENSG00000066027		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		IDH1	RFC	3	2.0	True	0.995		ENSG00000138413		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		PIK3R1	RF	3	3.0	True	0.0215		ENSG00000145675		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		HSPA8	F	3	3.0		0.768		ENSG00000109971		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		DDX3X	F	3	3.0		0.1495		ENSG00000215301		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		IRS2	F	3	2.0		0.02		ENSG00000185950		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		NEDD4L	F	3	3.0		0.8445		ENSG00000049759		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		GNAI1	F	3	3.0		0.069		ENSG00000127955		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		TFDP1	F	3	3.0		0.922		ENSG00000198176		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		RTN4	F	3	3.0		0.1965		ENSG00000115310		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		MED17	F	3	3.0		0.8765		ENSG00000042429		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		CARM1	F	3	3.0		0.83		ENSG00000142453		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		PRRX1	F	3	2.0	True	0.9445		ENSG00000116132		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		MSR1	F	3	3.0		0.1325		ENSG00000038945		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		SOX9	F	3	3.0		0.0655		ENSG00000125398		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		CAT	F	3	3.0		0.836		ENSG00000121691		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		FXR1	F	3	2.0		0.1815		ENSG00000114416		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		ADAM10	F	3	3.0		0.7845		ENSG00000137845		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		CCAR1	F	3	3.0		0.012		ENSG00000060339		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		MAP2K4	RF	3	3.0	True	0.0225		ENSG00000065559		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		EP300	F	3	2.0	True	0.0085		ENSG00000100393		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		EIF2C3	F	3	3.0		0.8809999999999999		ENSG00000126070		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		CSNK1G3	F	3	3.0		0.0235		ENSG00000151292		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		ERCC2	F	3	3.0	True	0.9525		ENSG00000104884		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		SYNCRIP	F	3	3.0		0.396		ENSG00000135316		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		NCKAP1	F	3	3.0		0.2985		ENSG00000061676		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		AFF4	F	3	3.0	True	0.682		ENSG00000072364		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		CDH1	RF	3	3.0	True	0.0035		ENSG00000039068		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		SHMT1	F	3	2.0		0.6579999999999999		ENSG00000176974		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		TCF12	F	3	3.0	True	0.0		ENSG00000140262		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		ACAD8	F	3	3.0		0.7340000000000001		ENSG00000151498		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		MYH10	F	3	3.0		0.7425		ENSG00000133026		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		NPM1	RF	3	2.0	True	0.040999999999999995		ENSG00000181163		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		GPSM2	F	2	2.0		0.1075		ENSG00000121957		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		TCF7L2	F	2	2.0	True	0.013000000000000001		ENSG00000148737		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		IREB2	F	2	2.0		0.848		ENSG00000136381		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		BMPR2	F	2	2.0		0.0405		ENSG00000204217		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		ATP6AP2	F	2	2.0		0.0415		ENSG00000182220		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		TGFBR2	F	2	2.0		0.0345		ENSG00000163513		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		CHEK2	F	2	2.0	True	0.2895		ENSG00000183765		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		NF2	F	2	2.0	True	0.0415		ENSG00000186575		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		RAD23B	F	2	2.0		0.1235		ENSG00000119318		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		G3BP2	F	2	2.0		0.882		ENSG00000138757		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		SFPQ	F	2	2.0	True	0.0455		ENSG00000116560		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		PIK3R3	F	2	2.0		0.919		ENSG00000117461		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		ZMYM2	F	2	2.0	True	0.201		ENSG00000121741		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		NCK1	F	2	2.0		0.862		ENSG00000158092		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		ACVR2A	RF	2	2.0		0.012		ENSG00000121989		LUAD_TCGA	0		LUAD	2.0	2	
